# Metrics
timestamp,generation,best_fitness,average_fitness,diversity,complexity,selection_strategy,crossover_strategy,mutation_strategy,local_search_algorithm
2025-01-23 10:45:01,1,3.7989,inf,0.3305,12.5000,tournament,uniform,subtree,
2025-01-23 10:45:01,11,2.2702,inf,0.1731,2.3600,roulette,subtree,diversity,

# Algorithm strategies track
timestamp,message
2025-01-23 10:45:01,Processing Problem 0
2025-01-23 10:45:01,Initializing Genetic Programming.
2025-01-23 10:45:01,Selection strategy changed from elitist to tournament | Reason: Low diversity detected
2025-01-23 10:45:01,Mutation strategy changed from simple to subtree | Reason: Low diversity (<3)
2025-01-23 10:45:01,Crossover strategy changed from one_point to uniform | Reason: Low diversity (<0.5)
2025-01-23 10:45:01,Local_search strategy changed from simulated_annealing to tabu_search | Reason: Low diversity (<3)
2025-01-23 10:45:01,Generation 1/20 - Best Fitness: 3.7989
2025-01-23 10:45:01,"Active strategies in Generation 1: selection=elitist, crossover=one_point, mutation=simple, local_search=simulated_annealing"
2025-01-23 10:45:01,"Active strategies in Generation 2: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 3: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 4: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 5: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:01,Selection strategy changed from tournament to roulette | Reason: Stagnation detected
2025-01-23 10:45:01,Mutation strategy changed from subtree to diversity | Reason: Detected stagnation (no improvement for 7 generations)
2025-01-23 10:45:01,Crossover strategy changed from uniform to subtree | Reason: Stagnation detected
2025-01-23 10:45:01,"Active strategies in Generation 6: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 7: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 8: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 9: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 10: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:01,Generation 11/20 - Best Fitness: 2.2702
2025-01-23 10:45:01,"Active strategies in Generation 11: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 12: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 13: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 14: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 15: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 16: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 17: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 18: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 19: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:01,"Active strategies in Generation 20: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:02,"
==================== Experiment Summary ====================
--- Experiment Configuration ---
Population Size: 50
Max Depth: 5
Max Generations: 20
Mutation Rate: 0.6
Crossover Rate: 0.3
Elitism: 5

--- Experiment Status ---
Experiment started at 2025-01-23 10:45:01
Experiment finished at 2025-01-23 10:45:02
Duration: 1.04 seconds
Status: Succeeded
Reason: Max generations reached

--- Experiment Statistics ---
Final Diversity: 0.1966 (Low)
Final Complexity: 1.3200 (Low)
Total Generations: 20
Generations Without Improvement: 18 (90.0%)
Best Fitness Achieved: 0.2107 (Good)
Best Expression: 0.069

--- Strategy Usage ---
Selection Strategies: {'elitist': 1, 'tournament': 6, 'roulette': 15}
Crossover Strategies: {'one_point': 1, 'uniform': 6, 'subtree': 15}
Mutation Strategies: {'simple': 1, 'subtree': 6, 'diversity': 15}
Local Search Algorithms: {'simulated_annealing': 1, 'tabu_search': 20}
"
